,PseudoTime1,PseudoTime2,PseudoTime3
E304_646,NA,NA,0.80928
E660_767,NA,0.9611,NA
E128_21,NA,0.02509,NA
E374_261,NA,0.32622,NA
E8_765,0.95859,NA,NA
E583_104,NA,0.12923,NA
E964_633,NA,NA,0.79297
E617_494,NA,NA,0.61857
E731_430,NA,NA,0.53827
E584_503,NA,0.62986,NA
E30_134,0.16688,NA,NA
E783_607,NA,0.76035,NA
E191_176,NA,0.21957,NA
E332_581,NA,NA,0.72773
E605_473,NA,0.59222,NA
E970_297,NA,NA,0.37139
E506_685,0.85822,NA,NA
E480_290,NA,0.36261,NA
E837_72,NA,0.08908,NA
E22_446,NA,0.55834,NA
E492_71,NA,NA,0.08783
E167_569,NA,NA,0.71267
E866_414,0.51819,NA,NA
E539_324,NA,0.40527,NA
E461_52,NA,0.06399,NA
E434_473,NA,NA,0.59222
E752_699,0.87578,NA,NA
E736_630,0.78921,NA,NA
E514_468,NA,NA,0.58595
E329_131,0.16311,NA,NA
E665_131,NA,0.16311,NA
E716_39,NA,0.04768,NA
E535_435,0.54454,NA,NA
E85_498,0.62359,NA,NA
E66_757,NA,0.94856,NA
E485_722,NA,0.90464,NA
E839_552,NA,0.69134,NA
E748_683,NA,NA,0.85571
E871_45,0.05521,NA,NA
E538_42,NA,0.05144,NA
E143_233,NA,0.29109,NA
E232_370,0.46299,NA,NA
E414_414,0.51819,NA,NA
E65_428,NA,NA,0.53576
E426_155,0.19322,NA,NA
E476_579,NA,0.72522,NA
E23_585,NA,0.73275,NA
E152_11,0.01255,NA,NA
E417_461,NA,0.57716,NA
E723_58,NA,0.07152,NA
E242_782,0.97992,NA,NA
E454_69,NA,0.08532,NA
E800_304,NA,0.38018,NA
E27_588,0.73651,NA,NA
E205_192,NA,0.23965,NA
E160_124,NA,0.15433,NA
E516_669,NA,NA,0.83814
E221_2,NA,0.00125,NA
E826_319,NA,0.399,NA
E245_226,NA,0.28231,NA
E314_40,NA,NA,0.04893
E701_785,0.98369,NA,NA
E349_288,NA,0.3601,NA
E743_558,NA,0.69887,NA
E494_64,0.07905,NA,NA
E868_457,0.57215,NA,NA
E140_475,NA,0.59473,NA
E702_159,NA,0.19824,NA
E277_527,NA,0.65997,NA
E438_288,NA,0.3601,NA
E844_540,NA,0.67629,NA
E216_313,NA,0.39147,NA
E162_556,NA,NA,0.69636
E969_122,NA,0.15182,NA
E174_285,NA,NA,0.35634
E809_401,NA,0.50188,NA
E822_134,0.16688,NA,NA
E293_639,NA,0.8005,NA
E749_104,NA,0.12923,NA
E408_114,NA,0.14178,NA
E104_334,NA,0.41782,NA
E937_743,NA,NA,0.93099
E653_207,NA,0.25847,NA
E186_530,NA,0.66374,NA
E479_763,NA,0.95609,NA
E157_82,NA,0.10163,NA
E158_329,NA,0.41154,NA
E327_494,NA,0.61857,NA
E129_464,0.58093,NA,NA
E814_441,NA,0.55207,NA
E470_64,NA,NA,0.07905
E549_511,NA,NA,0.6399
E335_585,NA,NA,0.73275
E78_167,0.20828,NA,NA
E130_385,NA,0.48181,NA
E180_338,NA,0.42284,NA
E229_604,NA,NA,0.75659
E934_416,NA,0.5207,NA
E719_319,NA,NA,0.399
E456_428,NA,0.53576,NA
E728_251,0.31368,NA,NA
E270_331,0.41405,NA,NA
E451_758,NA,0.94981,NA
E890_364,0.45546,NA,NA
E351_458,NA,NA,0.5734
E452_387,NA,NA,0.48432
E530_718,NA,NA,0.89962
E390_609,0.76286,NA,NA
E330_563,NA,NA,0.70514
E305_542,NA,0.6788,NA
E949_383,NA,0.4793,NA
E122_714,NA,NA,0.8946
E705_213,NA,0.266,NA
E878_21,0.02509,NA,NA
E310_62,NA,0.07654,NA
E808_237,NA,NA,0.29611
E879_287,0.35885,NA,NA
E423_358,0.44793,NA,NA
E855_145,NA,0.18068,NA
E754_504,NA,0.63112,NA
E603_243,NA,0.30364,NA
E882_760,NA,NA,0.95232
E51_106,NA,0.13174,NA
E234_323,NA,0.40402,NA
E118_56,0.06901,NA,NA
E900_218,NA,0.27227,NA
E573_3,0.00251,NA,NA
E658_388,NA,0.48557,NA
E132_330,NA,0.4128,NA
E482_84,NA,0.10414,NA
E367_208,NA,0.25972,NA
E880_213,NA,0.266,NA
E869_358,NA,0.44793,NA
E543_329,NA,0.41154,NA
E208_4,NA,0.00376,NA
E155_478,NA,NA,0.59849
E676_69,0.08532,NA,NA
E474_51,NA,NA,0.06274
E646_471,NA,0.58971,NA
E450_423,NA,NA,0.52949
E84_743,NA,NA,0.93099
E967_766,NA,0.95985,NA
E145_340,NA,NA,0.42535
E179_339,0.42409,NA,NA
E668_661,NA,NA,0.82811
E684_564,0.7064,NA,NA
E361_42,NA,0.05144,NA
E709_174,NA,NA,0.21706
E843_681,NA,NA,0.8532
E326_470,NA,0.58846,NA
E113_177,NA,0.22083,NA
E860_633,NA,0.79297,NA
E520_495,NA,0.61982,NA
E864_518,NA,NA,0.64868
E779_683,0.85571,NA,NA
E725_716,NA,NA,0.89711
E457_585,NA,0.73275,NA
E110_652,NA,NA,0.81681
E832_664,NA,0.83187,NA
E933_78,0.09661,NA,NA
E218_492,0.61606,NA,NA
E580_616,NA,0.77164,NA
E547_513,NA,0.64241,NA
E857_749,NA,NA,0.93852
E298_605,NA,NA,0.75784
E58_105,NA,NA,0.13049
E785_93,NA,NA,0.11543
E331_779,0.97616,NA,NA
E670_701,NA,0.87829,NA
E333_558,NA,0.69887,NA
E635_154,NA,NA,0.19197
E398_646,0.80928,NA,NA
E490_269,NA,0.33626,NA
E79_133,NA,NA,0.16562
E12_256,NA,0.31995,NA
E740_486,NA,0.60853,NA
E602_338,0.42284,NA,NA
E460_774,NA,NA,0.96989
E828_513,NA,NA,0.64241
E52_129,NA,0.1606,NA
E48_747,0.93601,NA,NA
E853_67,NA,0.08281,NA
E74_635,NA,0.79548,NA
E458_534,NA,NA,0.66876
E568_760,NA,0.95232,NA
E288_286,0.35759,NA,NA
E428_463,NA,0.57967,NA
E177_722,NA,NA,0.90464
E173_792,NA,0.99247,NA
E275_286,0.35759,NA,NA
E88_216,NA,0.26976,NA
E922_176,NA,0.21957,NA
E223_271,NA,NA,0.33877
E999_233,NA,0.29109,NA
E986_140,NA,0.1744,NA
E588_261,0.32622,NA,NA
E562_498,NA,0.62359,NA
E674_688,NA,NA,0.86198
E634_74,NA,0.09159,NA
E403_154,0.19197,NA,NA
E542_351,NA,NA,0.43915
E323_595,NA,0.74529,NA
E618_358,NA,0.44793,NA
E487_554,NA,NA,0.69385
E372_476,0.59598,NA,NA
E405_230,NA,0.28733,NA
E718_541,0.67754,NA,NA
E178_73,0.09034,NA,NA
E247_190,NA,NA,0.23714
E443_778,0.97491,NA,NA
E220_366,NA,0.45797,NA
E502_45,NA,0.05521,NA
E946_450,NA,NA,0.56336
E126_249,NA,0.31117,NA
E695_143,0.17817,NA,NA
E237_682,NA,NA,0.85445
E796_210,NA,0.26223,NA
E34_701,NA,0.87829,NA
E445_273,0.34128,NA,NA
E430_286,NA,0.35759,NA
E239_691,NA,0.86575,NA
E760_81,NA,NA,0.10038
E11_250,NA,0.31242,NA
E35_106,NA,0.13174,NA
E422_52,NA,0.06399,NA
E730_771,NA,0.96612,NA
E256_371,NA,0.46424,NA
E968_173,0.21581,NA,NA
E872_25,0.03011,NA,NA
E595_105,NA,0.13049,NA
E13_308,NA,NA,0.38519
E756_59,0.07277,NA,NA
E55_407,NA,0.50941,NA
E420_198,0.24718,NA,NA
E747_410,NA,NA,0.51317
E849_512,NA,0.64115,NA
E388_209,NA,0.26098,NA
E700_509,NA,NA,0.63739
E236_403,0.50439,NA,NA
E531_163,0.20326,NA,NA
E47_138,0.17189,NA,NA
E250_479,NA,0.59975,NA
E757_311,NA,0.38896,NA
E472_145,NA,NA,0.18068
E847_411,NA,NA,0.51443
E512_658,0.82434,NA,NA
E991_33,NA,0.04015,NA
E370_671,NA,NA,0.84065
E977_242,NA,NA,0.30238
E533_6,0.00627,NA,NA
E979_346,NA,0.43287,NA
E758_589,NA,0.73777,NA
E5_331,NA,NA,0.41405
E666_132,NA,0.16437,NA
E829_325,NA,NA,0.40652
E654_282,NA,NA,0.35257
E138_501,0.62735,NA,NA
E548_745,0.9335,NA,NA
E376_121,NA,0.15056,NA
E707_386,NA,NA,0.48306
E222_667,0.83563,NA,NA
E227_188,NA,NA,0.23463
E440_667,NA,NA,0.83563
E151_591,0.74028,NA,NA
E671_264,0.32999,NA,NA
E148_234,NA,0.29235,NA
E413_149,0.1857,NA,NA
E105_457,NA,0.57215,NA
E794_712,0.8921,NA,NA
E46_426,NA,0.53325,NA
E836_256,NA,NA,0.31995
E187_740,NA,NA,0.92723
E28_301,NA,0.37641,NA
E953_668,NA,0.83689,NA
E759_180,NA,NA,0.22459
E943_313,NA,NA,0.39147
E896_167,NA,0.20828,NA
E537_552,0.69134,NA,NA
E557_142,NA,0.17691,NA
E744_630,NA,0.78921,NA
E134_677,NA,NA,0.84818
E366_32,0.0389,NA,NA
E371_202,NA,0.2522,NA
E280_631,NA,0.79046,NA
E154_781,NA,NA,0.97867
E893_764,NA,0.95734,NA
E471_281,NA,NA,0.35132
E746_155,NA,0.19322,NA
E981_525,NA,0.65747,NA
E540_156,0.19448,NA,NA
E71_602,0.75408,NA,NA
E196_490,NA,0.61355,NA
E923_6,NA,0.00627,NA
E590_482,NA,NA,0.60351
E996_151,NA,0.18821,NA
E920_145,NA,0.18068,NA
E453_464,NA,0.58093,NA
E528_554,NA,0.69385,NA
E798_112,0.13927,NA,NA
E667_605,NA,NA,0.75784
E859_608,NA,0.76161,NA
E819_575,0.7202,NA,NA
E100_715,NA,NA,0.89586
E199_155,0.19322,NA,NA
E57_611,NA,0.76537,NA
E116_529,NA,NA,0.66248
E858_208,NA,0.25972,NA
E578_345,0.43162,NA,NA
E624_560,NA,0.70138,NA
E318_675,0.84567,NA,NA
E407_335,0.41907,NA,NA
E971_720,NA,NA,0.90213
E394_590,NA,0.73902,NA
E961_442,NA,0.55332,NA
E552_483,NA,0.60477,NA
E553_681,NA,0.8532,NA
E685_349,NA,NA,0.43664
E927_577,NA,0.72271,NA
E427_528,0.66123,NA,NA
E788_96,NA,NA,0.1192
E488_690,0.86449,NA,NA
E773_529,NA,0.66248,NA
E887_500,0.6261,NA,NA
E521_627,0.78545,NA,NA
E677_751,0.94103,NA,NA
E972_440,NA,0.55082,NA
E121_759,NA,0.95107,NA
E7_16,NA,NA,0.01882
E243_237,0.29611,NA,NA
E851_119,NA,0.14806,NA
E988_419,NA,NA,0.52447
E842_247,NA,0.30866,NA
E965_425,NA,NA,0.53199
E870_419,NA,NA,0.52447
E586_516,NA,0.64617,NA
E171_633,NA,NA,0.79297
E575_353,NA,0.44166,NA
E574_327,NA,NA,0.40903
E464_686,NA,0.85947,NA
E691_223,0.27854,NA,NA
E848_713,0.89335,NA,NA
E649_272,NA,0.34003,NA
E585_375,NA,NA,0.46926
E992_272,0.34003,NA,NA
E491_475,0.59473,NA,NA
E594_80,NA,NA,0.09912
E824_105,NA,0.13049,NA
E53_86,NA,0.10665,NA
E284_303,NA,NA,0.37892
E163_275,NA,NA,0.34379
E49_382,NA,0.47804,NA
E212_513,NA,0.64241,NA
E497_438,NA,NA,0.54831
E772_457,0.57215,NA,NA
E919_675,0.84567,NA,NA
E881_162,NA,NA,0.20201
E706_69,NA,0.08532,NA
E801_499,NA,NA,0.62484
E885_48,0.05897,NA,NA
E312_102,NA,0.12673,NA
E509_633,NA,0.79297,NA
E356_582,NA,0.72898,NA
E93_743,0.93099,NA,NA
E435_700,NA,0.87704,NA
E290_108,NA,NA,0.13425
E429_728,NA,0.91217,NA
E596_149,NA,0.1857,NA
E149_183,NA,0.22836,NA
E77_159,NA,NA,0.19824
E308_20,NA,0.02384,NA
E348_43,NA,0.0527,NA
E16_515,NA,0.64492,NA
E274_789,NA,0.98871,NA
E416_697,0.87327,NA,NA
E734_708,NA,0.88708,NA
E392_727,NA,NA,0.91092
E804_798,NA,1.0,NA
E567_774,NA,0.96989,NA
E322_708,NA,0.88708,NA
E775_221,NA,NA,0.27604
E724_219,NA,0.27353,NA
E446_670,NA,0.8394,NA
E876_455,NA,0.56964,NA
E659_109,NA,0.13551,NA
E525_170,NA,NA,0.21205
E556_286,NA,NA,0.35759
E463_715,NA,0.89586,NA
E652_174,NA,0.21706,NA
E675_285,NA,NA,0.35634
E195_313,0.39147,NA,NA
E449_35,NA,0.04266,NA
E61_81,NA,0.10038,NA
E91_592,0.74153,NA,NA
E146_368,NA,0.46048,NA
E587_545,NA,NA,0.68256
E515_474,NA,0.59348,NA
E193_463,NA,NA,0.57967
E630_737,NA,0.92346,NA
E6_239,NA,0.29862,NA
E299_412,NA,NA,0.51568
E363_640,NA,0.80176,NA
E133_747,0.93601,NA,NA
E942_334,NA,0.41782,NA
E601_299,0.3739,NA,NA
E680_195,0.24341,NA,NA
E960_422,NA,0.52823,NA
E269_85,NA,0.1054,NA
E862_464,0.58093,NA,NA
E643_66,NA,0.08156,NA
E207_705,NA,NA,0.88331
E984_64,0.07905,NA,NA
E357_550,NA,0.68883,NA
E257_663,0.83061,NA,NA
E608_79,NA,NA,0.09787
E928_614,0.76913,NA,NA
E486_333,0.41656,NA,NA
E135_698,NA,0.87453,NA
E153_274,NA,0.34253,NA
E82_671,NA,0.84065,NA
E272_377,NA,NA,0.47177
E834_494,NA,0.61857,NA
E908_71,NA,0.08783,NA
E254_263,NA,0.32873,NA
E241_277,0.3463,NA,NA
E591_68,NA,NA,0.08407
E889_6,NA,0.00627,NA
E161_524,0.65621,NA,NA
E534_637,NA,0.79799,NA
E260_101,NA,0.12547,NA
E103_568,NA,NA,0.71142
E147_184,NA,0.22961,NA
E846_187,NA,0.23338,NA
E337_761,NA,0.95358,NA
E109_536,NA,NA,0.67127
E561_312,NA,0.39021,NA
E764_217,NA,0.27102,NA
E159_660,NA,0.82685,NA
E81_389,NA,0.48683,NA
E810_781,NA,0.97867,NA
E136_492,NA,0.61606,NA
E551_215,0.26851,NA,NA
E315_48,0.05897,NA,NA
E905_744,NA,0.93225,NA
E289_103,0.12798,NA,NA
E300_9,NA,0.01004,NA
E501_522,0.6537,NA,NA
E285_86,0.10665,NA,NA
E484_219,NA,0.27353,NA
E769_451,NA,0.56462,NA
E194_375,NA,0.46926,NA
E106_591,0.74028,NA,NA
E982_383,NA,0.4793,NA
E954_182,NA,0.2271,NA
E354_762,0.95483,NA,NA
E789_591,NA,NA,0.74028
E504_545,NA,NA,0.68256
E45_90,0.11167,NA,NA
E710_29,NA,0.03513,NA
E738_318,NA,NA,0.39774
E455_569,0.71267,NA,NA
E545_369,NA,NA,0.46173
E190_310,NA,NA,0.3877
E786_384,NA,0.48055,NA
E669_499,0.62484,NA,NA
E467_668,NA,0.83689,NA
E903_564,0.7064,NA,NA
E733_789,0.98871,NA,NA
E362_101,0.12547,NA,NA
E404_758,NA,NA,0.94981
E198_26,NA,NA,0.03137
E611_543,NA,0.68005,NA
E263_234,0.29235,NA,NA
E644_559,NA,0.70013,NA
E550_361,NA,NA,0.45169
E891_560,NA,0.70138,NA
E69_296,NA,NA,0.37014
E914_709,0.88833,NA,NA
E325_187,NA,0.23338,NA
E364_519,NA,0.64994,NA
E570_112,NA,0.13927,NA
E131_146,0.18193,NA,NA
E790_563,0.70514,NA,NA
E650_417,NA,NA,0.52196
E901_742,NA,0.92974,NA
E875_333,NA,0.41656,NA
E86_324,0.40527,NA,NA
E17_83,0.10289,NA,NA
E500_517,NA,0.64743,NA
E566_501,NA,NA,0.62735
E203_625,NA,0.78294,NA
E909_37,0.04517,NA,NA
E854_618,NA,0.77415,NA
E931_537,NA,0.67252,NA
E750_135,0.16813,NA,NA
E344_272,NA,0.34003,NA
E127_630,NA,NA,0.78921
E782_688,NA,NA,0.86198
E459_670,NA,0.8394,NA
E14_729,0.91343,NA,NA
E762_266,NA,0.3325,NA
E507_537,0.67252,NA,NA
E784_534,NA,0.66876,NA
E279_59,0.07277,NA,NA
E320_586,NA,0.734,NA
E642_777,0.97365,NA,NA
E616_102,0.12673,NA,NA
E714_722,0.90464,NA,NA
E219_337,NA,NA,0.42158
E169_430,0.53827,NA,NA
E98_127,NA,0.15809,NA
E294_549,0.68758,NA,NA
E770_606,0.7591,NA,NA
E42_201,NA,0.25094,NA
E623_87,NA,0.1079,NA
E301_289,NA,NA,0.36136
E316_713,0.89335,NA,NA
E958_135,NA,0.16813,NA
E625_246,NA,0.3074,NA
E582_216,0.26976,NA,NA
E253_322,NA,0.40276,NA
E39_609,NA,NA,0.76286
E168_591,0.74028,NA,NA
E913_423,NA,NA,0.52949
E496_513,NA,0.64241,NA
E92_168,NA,0.20954,NA
E655_345,NA,NA,0.43162
E40_581,0.72773,NA,NA
E380_727,NA,0.91092,NA
E120_674,0.84442,NA,NA
E377_29,NA,0.03513,NA
E386_411,NA,0.51443,NA
E555_584,NA,NA,0.73149
E213_574,NA,0.71895,NA
E867_594,NA,0.74404,NA
E983_16,NA,0.01882,NA
E519_734,NA,0.9197,NA
E358_668,NA,NA,0.83689
E477_642,NA,NA,0.80427
E248_687,NA,NA,0.86073
E610_331,0.41405,NA,NA
E916_511,NA,0.6399,NA
E990_562,NA,0.70389,NA
E742_417,NA,0.52196,NA
E341_419,0.52447,NA,NA
E569_514,NA,0.64366,NA
E409_652,0.81681,NA,NA
E526_578,NA,0.72396,NA
E877_156,NA,NA,0.19448
E209_472,NA,0.59097,NA
E283_669,NA,0.83814,NA
E627_396,NA,0.49561,NA
E945_103,0.12798,NA,NA
E841_332,NA,0.41531,NA
E369_217,0.27102,NA,NA
E334_467,0.58469,NA,NA
E206_756,NA,0.9473,NA
E139_609,0.76286,NA,NA
E948_46,0.05646,NA,NA
E268_353,NA,NA,0.44166
E812_573,NA,0.71769,NA
E638_376,NA,0.47051,NA
E478_259,NA,NA,0.32371
E124_683,NA,0.85571,NA
E244_489,0.6123,NA,NA
E185_342,NA,NA,0.42785
E68_532,0.66625,NA,NA
E865_564,NA,0.7064,NA
E532_240,NA,0.29987,NA
E475_379,NA,0.47428,NA
E739_392,NA,NA,0.49059
E924_379,0.47428,NA,NA
E947_313,0.39147,NA,NA
E792_316,NA,NA,0.39523
E973_678,0.84944,NA,NA
E204_172,NA,0.21455,NA
E815_678,NA,0.84944,NA
E33_267,NA,0.33375,NA
E215_70,NA,0.08657,NA
E302_400,0.50063,NA,NA
E902_348,NA,0.43538,NA
E62_249,NA,NA,0.31117
E558_101,NA,NA,0.12547
E411_561,NA,NA,0.70263
E975_690,NA,NA,0.86449
E577_323,NA,0.40402,NA
E976_245,NA,NA,0.30615
E720_227,0.28356,NA,NA
E989_138,0.17189,NA,NA
E400_466,NA,0.58344,NA
E777_707,0.88582,NA,NA
E830_517,NA,0.64743,NA
E917_360,NA,NA,0.45044
E912_599,0.75031,NA,NA
E544_562,NA,0.70389,NA
E137_435,NA,0.54454,NA
E99_139,0.17315,NA,NA
E597_508,NA,0.63614,NA
E343_514,NA,NA,0.64366
E699_138,NA,0.17189,NA
E197_314,NA,0.39272,NA
E741_696,NA,NA,0.87202
E303_444,NA,NA,0.55583
E336_737,NA,NA,0.92346
E226_223,NA,NA,0.27854
E240_671,NA,NA,0.84065
E598_143,NA,NA,0.17817
E217_492,NA,NA,0.61606
E529_450,NA,NA,0.56336
E468_629,NA,NA,0.78795
E384_497,NA,NA,0.62233
E41_180,NA,0.22459,NA
E44_265,0.33124,NA,NA
E579_726,NA,0.90966,NA
E766_150,0.18695,NA,NA
E498_293,NA,0.36637,NA
E735_783,NA,0.98118,NA
E895_312,NA,0.39021,NA
E493_275,NA,0.34379,NA
E987_193,NA,NA,0.2409
E282_365,NA,0.45671,NA
E780_539,0.67503,NA,NA
E656_21,0.02509,NA,NA
E96_1,NA,0.0,NA
E693_308,NA,0.38519,NA
E112_482,0.60351,NA,NA
